word,n
grammy award,28
miles davis,18
hip hop,17
wynton marsalis,17
dizzy gillespie,15
big band,14
blue note,14
rolling stone,11
thelonious monk,11
berklee college,10
los angeles,10
most influential,10
charlie parker,9
john coltrane,9
pianist composer,9
tenor saxophonist,9
john mayer,8
tenor saxophone,8
