,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Oscar Peterson,0,0,0,1,1,1,1,1,1,1,0,0
B.B. King,0,0,0,1,1,1,1,1,1,1,1,0
Ben Wolfe,0,0,0,0,0,0,1,1,1,1,1,1
Chick Corea,0,0,0,0,0,1,1,1,1,1,1,1
Don Pullen,0,0,0,0,0,1,1,1,1,0,0,0
Bonnie Raitt,0,0,0,0,0,0,1,1,1,1,1,1
Bobby Watson,0,0,0,0,0,0,1,1,1,1,1,1
Ed Cherney,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Ilori,0,0,0,0,1,1,1,1,1,1,1,1
Darren Barrett,0,0,0,0,0,0,0,0,1,1,1,1
Hank Mobley,0,0,0,1,1,1,1,1,0,0,0,0
Percy Heath,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Nash,0,0,0,0,0,0,0,1,1,1,1,1
Oliver Nelson,0,0,0,0,0,0,0,0,0,0,0,0
Richard Ashcroft,0,0,0,0,0,0,0,0,1,1,1,1
Blue Mitchell,0,0,0,0,1,1,1,0,0,0,0,0
Joey Calderazzo,0,0,0,0,0,0,1,1,1,1,1,1
Dayna Stephens,0,0,0,0,0,0,0,0,0,1,1,1
Grover Washington Jr.,0,0,0,0,0,1,1,1,1,0,0,0
Willie Jones III,0,0,0,0,0,0,0,0,1,1,1,1
Anton Kwiatkowski,0,0,0,0,0,1,1,1,1,1,1,1
Wycliffe Gordon,0,0,0,0,0,0,0,0,0,0,0,0
John Mayer Trio,0,0,0,0,0,0,0,0,0,1,1,1
Vincent Herring,0,0,0,0,0,0,0,1,1,1,1,1
Camille Thurman,0,0,0,0,0,0,0,0,0,1,1,1
Roman Miroshnichenko,0,0,0,0,0,0,0,0,1,1,1,1
Aaron Goldberg,0,0,0,0,0,0,0,0,1,1,1,1
John Mayer,0,0,0,0,0,0,0,0,1,1,1,1
Vanessa Rubin,0,0,0,0,0,0,0,1,1,1,1,1
Nat Adderley,0,0,0,0,0,0,0,0,0,0,0,0
Dr. John,0,0,0,0,1,1,1,1,1,1,1,0
Paul Chambers,0,0,0,0,1,1,0,0,0,0,0,0
Stevie Wonder,0,0,0,0,0,1,1,1,1,1,1,1
Billy Taylor,0,0,0,1,1,1,1,1,1,1,1,0
Tommy Campbell (musician),0,0,0,0,0,0,0,0,0,0,0,0
Clark Terry,0,0,0,1,1,1,1,1,1,1,1,0
Wessell Anderson,0,0,0,0,0,0,0,1,1,1,1,1
George Mraz,0,0,0,0,0,0,0,0,0,0,0,0
Rickey Minor,0,0,0,0,0,0,0,1,1,1,1,1
Andrew Hill (jazz musician),0,0,0,0,1,1,1,1,1,1,0,0
Robert Stewart (saxophonist),0,0,0,0,0,0,0,1,1,1,1,1
Art Pepper,0,0,0,1,1,1,1,1,0,0,0,0
Carla Bley,0,0,0,0,0,1,1,1,1,1,1,1
Donald Brown (musician),0,0,0,0,0,0,1,1,1,1,1,1
Reuben Rogers,0,0,0,0,0,0,0,0,1,1,1,1
Yusef Lateef,0,0,0,0,1,1,1,1,1,1,1,0
Eric Lewis (pianist),0,0,0,0,0,0,0,0,1,1,1,1
Wallace Roney,0,0,0,0,0,0,1,1,1,1,1,1
Herbie Hancock,0,0,0,0,0,1,1,1,1,1,1,1
John Scofield,0,0,0,0,0,0,1,1,1,1,1,1
Johnny Griffin,0,0,0,1,1,1,1,1,1,1,0,0
Branford Marsalis,0,0,0,0,0,0,0,1,1,1,1,1
Bobby Timmons,0,0,0,0,1,1,1,0,0,0,0,0
Don Henley,0,0,0,0,0,0,1,1,1,1,1,1
Magos Herrera,0,0,0,0,0,0,0,0,1,1,1,1
Billy Higgins,0,0,0,0,0,0,0,0,0,0,0,0
Bob Dylan,0,0,0,0,0,1,1,1,1,1,1,1
Sean Jones (trumpeter),0,0,0,0,0,0,0,0,0,1,1,1
Bee Gees,0,0,0,0,1,1,0,0,0,0,0,0
Jason Marsalis,0,0,0,0,0,0,0,0,0,0,0,0
Bill Graham (musician),0,0,0,1,1,1,0,0,0,0,0,0
Raphael Saadiq,0,0,0,0,0,0,0,1,1,1,1,1
Justin Kauflin,0,0,0,0,0,0,0,0,0,1,1,1
J. J. Johnson,0,0,0,1,1,1,1,1,1,0,0,0
Keith Jarrett,0,0,0,0,0,1,1,1,1,1,1,0
Bill Dowdy,0,0,0,1,1,1,1,0,0,0,0,0
Philip Harper (trumpeter),0,0,0,0,0,0,0,0,1,1,1,1
Ron Carter,0,0,0,0,0,1,1,1,1,1,1,1
Ben Wendel,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Fuller,0,0,0,0,1,1,1,1,1,1,1,1
Bob Brookmeyer,0,0,0,0,0,0,0,0,0,0,0,0
Erica von Kleist,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Helms,0,0,0,0,1,1,1,1,1,1,0,0
Hugh Masekela,0,0,0,0,1,1,1,1,1,1,1,0
Paul Murphy (musician),0,0,0,0,0,0,0,0,0,0,0,0
Marcus Strickland,0,0,0,0,0,0,0,0,1,1,1,1
Stanley Turrentine,0,0,0,0,1,1,1,1,1,1,0,0
Radovan Tariska,0,0,0,0,0,0,0,0,0,0,0,0
Booker Little,0,0,0,0,1,1,0,0,0,0,0,0
Mary J. Blige,0,0,0,0,0,0,0,1,1,1,1,1
Thelonious Monk,0,0,0,1,1,1,1,0,0,0,0,0
Wynton Marsalis,0,0,0,0,0,0,0,1,1,1,1,1
Roger Ingram,0,0,0,0,0,0,1,1,1,1,1,1
John Gilmore (musician),0,0,0,0,1,1,1,1,1,0,0,0
Hans Dulfer,0,0,0,0,1,1,1,1,1,1,1,1
Iggy Pop,0,0,0,0,0,1,1,1,1,1,1,1
Charles Williams (musician),0,0,0,0,0,0,1,1,1,0,0,0
Javon Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Zach Brock,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Roberts,0,0,0,0,0,0,0,1,1,1,1,1
Miles Davis,0,0,0,1,1,1,1,0,0,0,0,0
Milt Hinton,0,1,1,1,1,1,1,1,1,0,0,0
Pino Palladino,0,0,0,0,0,0,1,1,1,1,1,1
Kurt Rosenwinkel,0,0,0,0,0,0,0,0,1,1,1,1
Ambrose Akinmusire,0,0,0,0,0,0,0,0,0,1,1,1
Darcy James Argue,0,0,0,0,0,0,0,0,0,1,1,1
Arturo O'Farrill,0,0,0,0,0,0,1,1,1,1,1,1
Ximo Tebar,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Hines,0,0,0,0,1,1,1,1,1,1,1,1
Cedar Walton,0,0,0,0,0,0,0,0,0,0,0,0
The Rolling Stones,0,0,0,0,0,1,1,1,1,1,1,1
Jean Toussaint,0,0,0,0,0,0,0,1,1,1,1,1
Robert Hurst (musician),0,0,0,0,0,0,0,1,1,1,1,1
Pharoah Sanders,0,0,0,0,0,1,1,1,1,1,1,1
Woody Shaw,0,0,0,0,0,1,1,1,0,0,0,0
Ali Jackson (jazz drummer),0,0,0,0,0,0,0,0,0,0,0,0
Lalo Schifrin,0,0,0,0,1,1,1,1,1,1,1,1
Joe Temperley,0,0,0,0,1,1,1,1,1,1,1,0
Mark Turner (musician),0,0,0,0,0,0,0,0,1,1,1,1
Sherrie Maricle,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan Fortner,0,0,0,0,0,0,0,0,0,1,1,1
Yacub Addy,0,0,0,0,1,0,0,0,0,0,0,0
Charles Lloyd (jazz musician),0,0,0,0,1,1,1,1,1,1,1,1
