,composer,singer,drummer,pianist,saxophonist,bassist,songwriter,trumpeter,guitarist,producer,vocalist,percussionist,horn,keyboardist,trombonist,flute
Donald Byrd,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Harry Sokal (musician),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
McCoy Tyner,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candy Dulfer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andreas Varady,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Freddie Hubbard,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Randy Gelispie,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Peter Bernstein (guitarist),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quincy Jones,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Dwayne Dolphin,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Igor Butman,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Don Friedman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Redman,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Roy Hargrove,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Paul Young,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Richard Davis (bassist),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Orrin Keepnews,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dizzy Gillespie,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Eddie Harris,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Kenny Dorham,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Oscar Peterson,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B.B. King,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Ben Wolfe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chick Corea,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Don Pullen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bonnie Raitt,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
Bobby Watson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ed Cherney,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Solomon Ilori,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Darren Barrett,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Hank Mobley,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Percy Heath,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Lewis Nash,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Nelson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Richard Ashcroft,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
Blue Mitchell,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joey Calderazzo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dayna Stephens,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Grover Washington Jr.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
Willie Jones III,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anton Kwiatkowski,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Wycliffe Gordon,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
John Mayer Trio,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Vincent Herring,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Camille Thurman,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Roman Miroshnichenko,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Aaron Goldberg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
John Mayer,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Vanessa Rubin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nat Adderley,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Dr. John,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Paul Chambers,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Stevie Wonder,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Billy Taylor,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tommy Campbell (musician),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark Terry,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Wessell Anderson,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
George Mraz,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rickey Minor,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Andrew Hill (jazz musician),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Robert Stewart (saxophonist),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Art Pepper,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carla Bley,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Donald Brown (musician),0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Reuben Rogers,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Yusef Lateef,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Eric Lewis (pianist),0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Wallace Roney,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Herbie Hancock,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
John Scofield,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Johnny Griffin,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Branford Marsalis,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bobby Timmons,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Don Henley,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
Magos Herrera,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0
Billy Higgins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Dylan,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sean Jones (trumpeter),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Bee Gees,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Jason Marsalis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Graham (musician),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Raphael Saadiq,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Justin Kauflin,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
J. J. Johnson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Keith Jarrett,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bill Dowdy,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Philip Harper (trumpeter),0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
